2026-07-30T06:36:28.822Z {"method":"POST","path":"/api/auth/login","status":401,"userId":"u1","role":"user","ip":"127.0.0.1","durationMs":0}
2026-07-30T06:36:28.870Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:28.893Z {"method":"PUT","path":"/api/orders/6a6af0ecf74a7c18ce20a5a4/status","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:32.953Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":6}
2026-07-30T06:36:33.249Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.337Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.381Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":7}
2026-07-30T06:36:33.384Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":6}
2026-07-30T06:36:33.430Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":3}
2026-07-30T06:36:33.476Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.510Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.517Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.521Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.549Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":13}
2026-07-30T06:36:33.558Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.571Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.603Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
